iter	RMSE
0	13.31756195
1	12.83842284
2	12.40433197
3	11.98488625
4	11.60801142
5	11.2235459
6	10.87955833
7	10.56806322
8	10.26918931
9	9.994087277
10	9.749760232
11	9.53620563
12	9.32412492
13	9.122488926
14	8.947689476
15	8.770957141
16	8.613313475
17	8.47301626
18	8.335880659
19	8.222327651
20	8.103877213
21	7.999791501
22	7.901090275
23	7.81878789
24	7.751402296
25	7.682956408
26	7.612368338
27	7.54890626
28	7.499332015
29	7.444361996
30	7.387831337
31	7.337367187
32	7.293925101
33	7.256238299
34	7.227739669
35	7.193830562
36	7.163970791
37	7.132082498
38	7.099263398
39	7.074240448
40	7.04746548
41	7.026222527
42	7.003662939
43	6.982931707
44	6.964156874
45	6.94779499
46	6.932468388
47	6.917970978
48	6.900400776
49	6.883105286
50	6.870044671
51	6.858306607
52	6.839977371
53	6.828129897
54	6.810183272
55	6.794709941
56	6.780932708
57	6.771622274
58	6.761167861
59	6.74977425
60	6.739236667
61	6.726759539
62	6.716246746
63	6.703344321
64	6.69652456
65	6.685050248
66	6.673413055
67	6.661524105
68	6.652327454
69	6.64282223
70	6.634638375
71	6.625878742
72	6.614449173
73	6.606336722
74	6.595881339
75	6.589143839
76	6.580835886
77	6.574623778
78	6.567360289
79	6.561981111
80	6.555170891
81	6.54847846
82	6.540849754
83	6.53300205
84	6.528196264
85	6.520633731
86	6.512236328
87	6.504992216
88	6.49643873
89	6.490359663
90	6.481958718
91	6.475477335
92	6.466440376
93	6.45958351
94	6.452287805
95	6.446192532
96	6.441641931
97	6.432917602
98	6.423850301
99	6.4174958
100	6.410552008
101	6.40490291
102	6.399369673
103	6.391790093
104	6.385653012
105	6.382249005
106	6.37798399
107	6.372432827
108	6.367954191
109	6.362716942
110	6.357428535
111	6.34964034
112	6.340443571
113	6.335326177
114	6.327481454
115	6.322165664
116	6.317147799
117	6.313739391
118	6.307702424
119	6.304220225
120	6.29699633
121	6.290313333
122	6.284084012
123	6.279402466
124	6.275564684
125	6.270113476
126	6.265379866
127	6.26189042
128	6.255923442
129	6.249921716
130	6.243557046
131	6.238848774
132	6.233934165
133	6.228010383
134	6.22228577
135	6.216797985
136	6.212590822
137	6.208626219
138	6.206267682
139	6.201747293
140	6.19615782
141	6.191874214
142	6.188475492
143	6.183733081
144	6.179424049
145	6.175239347
146	6.171477547
147	6.166712831
148	6.162441395
149	6.158825849
150	6.155767791
151	6.150101555
152	6.144653323
153	6.139705056
154	6.135321891
155	6.131319365
156	6.12739982
157	6.121814056
158	6.118782851
159	6.114569858
160	6.109851201
161	6.104619167
162	6.100497613
163	6.096060025
164	6.092532219
165	6.087937295
166	6.082956372
167	6.078926422
168	6.074016712
169	6.069036737
170	6.064034413
171	6.059491136
172	6.054252813
173	6.049690759
174	6.045034385
175	6.039871561
176	6.035874748
177	6.030032295
178	6.025500702
179	6.022483345
180	6.016520036
181	6.013276802
182	6.008508442
183	6.00422758
184	6.001258032
185	5.99593038
186	5.990679142
187	5.987322627
188	5.983064005
189	5.980002132
190	5.977242353
191	5.973734918
192	5.968384316
193	5.963438872
194	5.959960365
195	5.956656237
196	5.9532812
197	5.948599806
198	5.945006542
199	5.942425546
200	5.937433839
201	5.93512244
202	5.931175918
203	5.926177286
204	5.920807958
205	5.915681784
206	5.913899808
207	5.909232108
208	5.905988363
209	5.90186912
210	5.897233756
211	5.894214487
212	5.890649251
213	5.885673212
214	5.883319944
215	5.880000756
216	5.874611605
217	5.870149544
218	5.866707252
219	5.861297579
220	5.857829542
221	5.852798898
222	5.848549558
223	5.846054405
224	5.843627115
225	5.839218001
226	5.836113666
227	5.833736352
228	5.830703866
229	5.828020878
230	5.824052157
231	5.820083654
232	5.818046096
233	5.814338772
234	5.810723404
235	5.807608309
236	5.804546987
237	5.801247562
238	5.799096321
239	5.794848758
240	5.790616341
241	5.786230606
242	5.781806605
243	5.778872248
244	5.77537603
245	5.771490958
246	5.76805178
247	5.76362174
248	5.759927602
249	5.755185112
250	5.752019537
251	5.74902468
252	5.746912894
253	5.744809747
254	5.741204833
255	5.738870265
256	5.734813101
257	5.732424621
258	5.728741104
259	5.727605137
260	5.72367723
261	5.720859307
262	5.716900926
263	5.713819501
264	5.709782043
265	5.705995126
266	5.704127825
267	5.701900521
268	5.698369788
269	5.694887807
270	5.692166015
271	5.688667714
272	5.68554234
273	5.683544837
274	5.682398879
275	5.680933145
276	5.679149217
277	5.675288136
278	5.671848941
279	5.668838231
280	5.665519189
281	5.663438282
282	5.661144581
283	5.660195303
284	5.65731537
285	5.655806586
286	5.652973661
287	5.650775068
288	5.648157593
289	5.644757598
290	5.641784847
291	5.640192235
292	5.637974583
293	5.635394294
294	5.633832635
295	5.62973948
296	5.6255124
297	5.623552746
298	5.621206681
299	5.618492837
300	5.616244494
301	5.612722704
302	5.609358013
303	5.607844596
304	5.604840681
305	5.602531772
306	5.599936232
307	5.598494791
308	5.596233916
309	5.594272602
310	5.590804787
311	5.586414161
312	5.583770283
313	5.581613202
314	5.578819496
315	5.577029542
316	5.572807887
317	5.571084412
318	5.56881384
319	5.565280868
320	5.562175901
321	5.55988236
322	5.557923232
323	5.555932448
324	5.5543056
325	5.551885472
326	5.550295962
327	5.549226094
328	5.546570915
329	5.545066748
330	5.542183942
331	5.53980029
332	5.537729696
333	5.535335457
334	5.533218981
335	5.530768806
336	5.528469935
337	5.525722131
338	5.523060234
339	5.519709238
340	5.517965177
341	5.51434351
342	5.51226666
343	5.511281084
344	5.509345001
345	5.506027341
346	5.503502706
347	5.5015551
348	5.499975556
349	5.497731834
350	5.495463359
351	5.493780948
352	5.49105046
353	5.488371747
354	5.485872836
355	5.484559669
356	5.482749901
357	5.480212386
358	5.478562742
359	5.475213158
360	5.473029037
361	5.470471436
362	5.469307907
363	5.466923645
364	5.464163881
365	5.462517917
366	5.459631373
367	5.457183464
368	5.455474458
369	5.454058035
370	5.451211255
371	5.44872394
372	5.44766867
373	5.44578963
374	5.443065938
375	5.44140294
376	5.439032001
377	5.43657634
378	5.434299425
379	5.431741743
380	5.430027522
381	5.428283179
382	5.426358832
383	5.424304767
384	5.420741883
385	5.419026871
386	5.416336586
387	5.413486881
388	5.411923428
389	5.409362153
390	5.407791675
391	5.405356175
392	5.402791235
393	5.400708
394	5.39878642
395	5.395963424
396	5.394208727
397	5.390710963
398	5.38800603
399	5.38621051
400	5.383807748
401	5.382563132
402	5.380248207
403	5.378375329
404	5.374960895
405	5.37331031
406	5.370925118
407	5.36839396
408	5.366603767
409	5.365129263
410	5.363520403
411	5.362289332
412	5.360097062
413	5.359115945
414	5.356800022
415	5.354600593
416	5.352565253
417	5.34996512
418	5.348403396
419	5.346140509
420	5.344059614
421	5.341680797
422	5.339199981
423	5.336145052
424	5.334477083
425	5.332706841
426	5.330574636
427	5.32975621
428	5.328248414
429	5.325937355
430	5.324373687
431	5.322569642
432	5.320853224
433	5.317847456
434	5.316351627
435	5.315214152
436	5.313109524
437	5.311358731
438	5.309558254
439	5.307939161
440	5.30476555
441	5.302368433
442	5.300433866
443	5.297778007
444	5.296300655
445	5.294527316
