iter	Passed	Remaining
0	17	17003
1	20	10259
2	23	7843
3	26	6502
4	28	5707
5	31	5165
6	33	4751
7	36	4538
8	39	4299
9	41	4138
10	44	3990
11	46	3865
12	49	3794
13	53	3755
14	56	3710
15	59	3657
16	62	3588
17	66	3607
18	69	3570
19	72	3533
20	75	3504
21	78	3481
22	81	3455
23	83	3411
24	86	3379
25	89	3338
26	92	3321
27	94	3295
28	99	3344
29	103	3341
30	111	3496
31	118	3578
32	123	3623
33	128	3642
34	131	3638
35	135	3639
36	139	3633
37	143	3627
38	146	3602
39	149	3586
40	152	3567
41	156	3571
42	163	3632
43	166	3612
44	169	3592
45	172	3578
46	175	3558
47	178	3541
48	182	3539
49	185	3517
50	188	3499
51	190	3474
52	193	3457
53	196	3434
54	198	3415
55	201	3396
56	204	3387
57	207	3372
58	210	3361
59	213	3346
60	216	3330
61	221	3344
62	224	3335
63	227	3328
64	230	3317
65	233	3305
66	236	3296
67	239	3285
68	242	3275
69	245	3265
70	248	3254
71	252	3249
72	255	3244
73	258	3238
74	261	3225
75	264	3210
76	267	3208
77	271	3206
78	274	3198
79	277	3190
80	280	3184
81	284	3179
82	286	3169
83	289	3157
84	292	3152
85	295	3145
86	299	3143
87	302	3136
88	305	3128
89	309	3124
90	311	3115
91	314	3106
92	317	3097
93	321	3098
94	324	3090
95	327	3081
96	331	3085
97	334	3078
98	338	3076
99	340	3068
100	343	3060
101	346	3051
102	349	3043
103	352	3040
104	356	3035
105	359	3028
106	362	3023
107	367	3037
108	372	3041
109	375	3038
110	378	3031
111	381	3028
112	384	3021
113	388	3016
114	391	3011
115	396	3021
116	400	3020
117	402	3011
118	405	3005
119	409	3002
120	412	2997
121	415	2990
122	418	2982
123	421	2974
124	424	2969
125	427	2962
126	429	2953
127	432	2945
128	435	2938
129	438	2934
130	441	2927
131	444	2922
132	446	2913
133	449	2903
134	452	2896
135	454	2889
136	457	2882
137	460	2875
138	462	2866
139	465	2860
140	468	2852
141	470	2842
142	472	2834
143	475	2825
144	478	2818
145	480	2810
146	483	2803
147	485	2796
148	488	2792
149	491	2786
150	494	2781
151	497	2775
152	500	2769
153	502	2761
154	505	2754
155	507	2747
156	510	2742
157	513	2735
158	516	2729
159	518	2724
160	521	2720
161	528	2735
162	531	2731
163	535	2729
164	539	2732
165	543	2732
166	546	2727
167	550	2726
168	553	2722
169	559	2733
170	562	2728
171	565	2723
172	568	2719
173	573	2721
174	576	2716
175	580	2716
176	584	2719
177	587	2714
178	590	2709
179	595	2711
180	598	2709
181	603	2712
182	607	2710
183	610	2706
184	613	2703
185	617	2701
186	620	2696
187	623	2693
188	627	2693
189	633	2701
190	636	2697
191	639	2693
192	642	2687
193	645	2683
194	648	2677
195	651	2673
196	656	2676
197	659	2671
198	662	2667
199	665	2661
200	668	2657
201	671	2654
202	674	2649
203	678	2646
204	681	2641
205	684	2637
206	688	2635
207	691	2631
208	693	2625
209	696	2620
210	699	2617
211	703	2613
212	705	2608
213	708	2602
214	711	2597
215	713	2591
216	716	2586
217	719	2582
218	722	2577
219	725	2572
220	728	2567
221	730	2561
222	733	2556
223	736	2550
224	739	2545
225	741	2540
226	744	2535
227	746	2529
228	749	2524
