,gender,age,internet_access,study_environment,sleep_hours,social_media_hours,math_score,reading_score,writing_score,science_score,final_exam_score,pass_fail,total_score,average
0,Male,17,Yes,Quiet,6.05,0.1,42.8,62.4,54.8,51.8,49.1,Fail,329.6,54.93333333333334
1,Female,18,Yes,Quiet,6.96,2.9,77.9,73.5,64.4,61.6,70.1,Pass,440.1,73.35000000000001
2,Male,17,No,Quiet,7.02,2.4,53.5,38.3,36.3,47.1,42.2,Fail,263.2,43.86666666666667
3,Male,18,Yes,Quiet,6.23,3.5,28.3,23.5,32.0,39.0,31.9,Fail,227.6,37.93333333333333
4,Male,18,Yes,Quiet,8.54,2.1,74.7,54.9,73.6,55.5,66.4,Pass,380.8,63.46666666666667
5,Female,17,Yes,Quiet,8.16,2.6,40.3,42.2,44.1,30.0,40.9,Fail,273.8,45.63333333333333
6,Male,16,Yes,Quiet,7.34,3.9,52.1,48.4,49.4,47.8,47.1,Fail,286.59999999999997,47.76666666666666
7,Male,18,Yes,Moderate,6.58,0.0,45.6,57.1,47.4,67.0,57.0,Pass,349.0,58.166666666666664
8,Male,17,Yes,Moderate,7.96,1.1,23.9,26.9,32.3,32.8,30.2,Fail,245.2,40.86666666666667
9,Female,15,Yes,Quiet,7.51,1.7,59.6,46.2,68.0,48.3,54.8,Pass,338.70000000000005,56.45000000000001
10,Male,17,Yes,Noisy,6.56,2.3,57.1,49.5,55.5,55.7,55.2,Pass,320.4,53.4
11,Male,15,Yes,Moderate,7.97,0.4,60.8,57.5,65.4,58.3,60.9,Pass,382.79999999999995,63.79999999999999
12,Male,18,No,Moderate,7.37,1.1,56.2,57.9,38.2,37.4,49.0,Fail,304.0,50.666666666666664
13,Male,17,Yes,Noisy,5.34,3.5,57.0,55.4,67.6,49.7,57.4,Pass,371.29999999999995,61.883333333333326
14,Female,17,Yes,Quiet,6.01,3.2,51.4,41.1,57.4,44.3,49.4,Fail,330.1,55.01666666666667
