Unnamed: 0,gender,age,internet_access,study_environment,sleep_hours,social_media_hours,math_score,reading_score,writing_score,science_score,final_exam_score,pass_fail,total_score,average
9254,Male,16,Yes,Quiet,6.9,0.0,61.3,60.4,60.5,64.4,64.6,Pass,379.8,63.29999999999999
1561,Female,17,Yes,Noisy,7.16,0.1,43.9,49.2,51.1,51.0,51.2,Pass,339.1,56.51666666666666
1670,Female,16,Yes,Moderate,7.76,0.0,71.8,52.3,68.9,77.0,66.0,Pass,405.8,67.63333333333334
6087,Male,17,Yes,Noisy,8.49,2.3,41.0,43.4,39.9,31.4,38.1,Fail,254.8,42.46666666666667
6669,Female,15,Yes,Noisy,7.49,3.1,63.7,68.4,73.5,65.8,65.0,Pass,436.4,72.73333333333333
5933,Female,16,Yes,Quiet,6.85,2.1,47.7,58.0,58.5,46.7,49.6,Fail,356.5,59.41666666666666
8829,Female,18,Yes,Noisy,6.75,3.0,42.3,44.5,54.6,49.5,49.9,Fail,331.8,55.3
7945,Male,16,Yes,Moderate,7.48,1.6,53.6,46.7,33.8,38.3,41.5,Fail,295.20000000000005,49.20000000000001
3508,Male,17,Yes,Noisy,8.3,4.8,73.6,82.4,64.7,78.1,75.9,Pass,430.5999999999999,71.76666666666665
2002,Female,17,Yes,Quiet,6.49,4.0,45.9,50.9,58.4,52.4,52.0,Pass,326.6,54.43333333333334
5866,Male,18,Yes,Quiet,7.63,2.6,25.3,30.0,43.4,32.1,31.6,Fail,219.0,36.49999999999999
168,Male,17,Yes,Quiet,5.91,0.0,47.7,56.3,53.1,51.2,48.2,Fail,317.5,52.91666666666666
2588,Female,18,No,Moderate,6.95,2.1,76.8,58.7,56.3,82.1,65.8,Pass,431.8,71.96666666666665
5905,Male,17,Yes,Noisy,5.99,3.8,35.2,33.7,43.4,42.4,40.3,Fail,268.6,44.76666666666667
9529,Female,17,Yes,Moderate,7.63,4.5,59.8,43.9,53.6,61.1,53.0,Pass,339.6,56.6
6384,Female,15,Yes,Noisy,8.67,2.2,44.0,28.2,41.2,31.4,32.2,Fail,244.2,40.7
7824,Male,16,Yes,Moderate,6.81,1.4,68.9,56.3,59.0,58.7,58.9,Pass,384.8,64.13333333333333
9779,Female,18,Yes,Moderate,6.31,3.4,24.9,11.7,12.9,14.7,16.1,Fail,173.7,28.95
4629,Male,18,Yes,Moderate,5.69,4.1,57.5,47.8,50.9,46.2,46.7,Fail,349.0,58.16666666666666
8560,Female,15,Yes,Moderate,6.0,3.6,69.4,63.3,66.4,56.5,62.1,Pass,396.2,66.03333333333333
9291,Female,17,Yes,Moderate,7.43,2.6,57.6,53.6,49.9,51.3,55.5,Pass,343.4,57.23333333333333
6874,Male,18,Yes,Moderate,7.72,3.3,57.2,52.6,50.9,52.9,53.6,Pass,335.50000000000006,55.91666666666668
6521,Female,16,Yes,Moderate,6.64,1.7,61.9,62.1,61.8,66.1,63.6,Pass,402.7,67.11666666666666
8979,Male,18,No,Quiet,5.64,3.6,53.7,41.8,41.2,48.7,46.1,Fail,285.1,47.51666666666666
6647,Female,15,Yes,Quiet,5.33,0.3,73.3,89.2,76.9,77.3,77.1,Pass,474.4,79.06666666666666
9825,Male,18,No,Moderate,4.93,3.5,49.3,40.5,42.8,34.0,39.5,Fail,304.5,50.75
210,Male,15,Yes,Noisy,6.57,3.3,43.6,45.2,39.7,45.0,48.6,Fail,289.3,48.21666666666667
