iter	RMSE
0	13.36972476
1	12.88382009
2	12.43994345
3	11.99780364
4	11.6016922
5	11.23996675
6	10.89364469
7	10.5771981
8	10.28171005
9	10.00646477
10	9.754151982
11	9.511714056
12	9.29638095
13	9.099204418
14	8.910998033
15	8.74006587
16	8.583885263
17	8.431055283
18	8.304717718
19	8.190234233
20	8.079360022
21	7.96934951
22	7.875633831
23	7.790007246
24	7.709021595
25	7.634003021
26	7.565835656
27	7.499226595
28	7.442374723
29	7.385697274
30	7.337361072
31	7.291045377
32	7.242784209
33	7.19518259
34	7.157526824
35	7.124588362
36	7.088614865
37	7.055614906
38	7.02058836
39	6.993091979
40	6.96327145
41	6.939506027
42	6.917907372
43	6.897278957
44	6.874192931
45	6.848097478
46	6.827397577
47	6.805817702
48	6.78610854
49	6.769645846
50	6.751734594
51	6.73281359
52	6.713820828
53	6.69991695
54	6.684678115
55	6.669582626
56	6.655856463
57	6.642453785
58	6.631024836
59	6.615549888
60	6.601195923
61	6.584331629
62	6.569405879
63	6.557807441
64	6.54857419
65	6.536094865
66	6.523302151
67	6.510782963
68	6.498356668
69	6.485152009
70	6.473027139
71	6.463920729
72	6.451083686
73	6.43986901
74	6.427163276
75	6.415177504
76	6.405225108
77	6.393138066
78	6.382177976
79	6.374657274
80	6.363110599
81	6.349128748
82	6.341214879
83	6.331410223
84	6.320171951
85	6.308764805
86	6.300256721
87	6.291332097
88	6.281944913
89	6.271418593
90	6.260350504
91	6.249682885
92	6.239271885
93	6.228408952
94	6.219910683
95	6.215092124
96	6.208042459
97	6.199095275
98	6.189912662
99	6.182532297
100	6.176936251
101	6.16815663
102	6.160205059
103	6.155251638
104	6.14936868
105	6.144066678
106	6.141677388
107	6.13543693
108	6.126432134
109	6.119541354
110	6.112341888
111	6.103239733
112	6.092899825
113	6.084960921
114	6.078074623
115	6.072448583
116	6.064882928
117	6.054613298
118	6.049253721
119	6.044018084
120	6.039152965
121	6.031821049
122	6.02363698
123	6.016242691
124	6.010501067
125	6.005287543
126	5.996522026
127	5.99292096
128	5.985523074
129	5.978973912
130	5.972342704
131	5.966950164
132	5.961854199
133	5.95479903
134	5.94875664
135	5.941037279
136	5.934142797
137	5.924957023
138	5.920249961
139	5.915226474
140	5.909047494
141	5.90244651
142	5.894802763
143	5.886541186
144	5.882154694
145	5.877248913
146	5.871527723
147	5.866174451
148	5.858964113
149	5.853108902
150	5.848339121
151	5.840934894
152	5.836763941
153	5.831599121
154	5.82629459
155	5.819878765
156	5.813301663
157	5.810514619
158	5.804387369
159	5.800198563
160	5.795095118
161	5.790042497
162	5.785996031
163	5.781734057
164	5.776282143
165	5.771232222
166	5.767066844
167	5.762294621
168	5.756952689
169	5.75202384
170	5.746786898
171	5.741387841
172	5.735507665
173	5.731531214
174	5.727696028
175	5.724626407
176	5.721776403
177	5.717544403
178	5.711336268
179	5.706018132
180	5.703831195
181	5.697370666
182	5.691499979
183	5.685344463
184	5.680511862
185	5.67535749
186	5.670412163
187	5.666453933
