iter	Passed	Remaining
0	163	163585
1	167	83744
2	172	57466
3	176	43971
4	180	35919
5	184	30552
6	187	26657
7	191	23721
8	195	21478
9	198	19672
10	203	18279
11	206	17029
12	210	15951
13	213	15036
14	216	14241
15	220	13543
16	224	13000
17	228	12460
18	231	11966
19	235	11518
20	238	11112
21	241	10737
22	244	10393
23	248	10092
24	251	9808
25	254	9541
26	258	9302
27	261	9078
28	265	8873
29	270	8740
30	273	8554
31	277	8385
32	280	8226
33	284	8073
34	287	7926
35	290	7790
36	294	7664
37	298	7552
38	301	7435
39	305	7323
40	308	7223
41	313	7155
42	317	7070
43	321	6986
44	325	6904
45	329	6834
46	333	6764
47	339	6726
48	343	6665
49	347	6606
50	352	6555
51	356	6498
52	362	6481
53	367	6444
54	372	6396
55	377	6357
56	382	6322
57	386	6274
58	390	6230
59	398	6245
60	405	6237
61	410	6209
62	425	6326
63	430	6303
64	435	6263
65	443	6274
66	447	6229
67	450	6178
68	454	6131
69	458	6085
70	461	6038
71	464	5992
72	469	5959
73	473	5924
74	477	5884
75	480	5844
76	484	5806
77	488	5769
78	491	5731
79	496	5709
80	501	5690
81	505	5659
82	509	5632
83	515	5622
84	521	5612
85	526	5595
86	533	5594
87	539	5586
88	545	5585
89	551	5572
90	556	5560
91	562	5550
92	567	5537
93	574	5533
94	580	5532
95	586	5519
96	592	5514
97	599	5515
98	605	5513
99	611	5506
100	616	5491
101	623	5484
102	627	5466
103	632	5451
104	636	5427
105	641	5408
106	644	5382
107	649	5363
108	653	5342
109	658	5326
110	662	5309
111	668	5299
112	673	5288
113	679	5283
114	696	5359
115	701	5344
116	705	5327
117	710	5310
118	715	5298
119	719	5278
120	726	5276
121	733	5276
122	739	5271
123	746	5272
124	751	5257
125	757	5256
126	761	5234
127	766	5224
128	771	5210
129	776	5194
130	780	5177
131	785	5164
132	790	5153
133	795	5140
134	800	5126
135	804	5109
136	808	5090
137	812	5073
138	817	5064
139	824	5066
140	832	5074
141	841	5084
142	847	5077
143	852	5070
144	859	5068
145	864	5055
146	868	5041
147	873	5026
148	878	5014
149	883	5007
150	888	4998
151	894	4989
152	900	4983
153	905	4971
154	909	4957
155	913	4941
156	917	4927
157	921	4910
158	925	4894
159	932	4894
160	937	4887
161	942	4876
162	946	4862
163	969	4940
164	993	5028
165	1000	5024
166	1008	5028
167	1020	5053
168	1028	5055
169	1034	5049
170	1041	5047
171	1047	5040
172	1053	5036
173	1058	5024
174	1063	5015
175	1069	5008
176	1075	5002
177	1080	4991
178	1086	4982
179	1091	4970
180	1096	4960
181	1102	4954
182	1108	4950
183	1115	4947
184	1121	4940
185	1126	4931
186	1132	4922
187	1139	4921
188	1144	4913
189	1150	4906
190	1157	4901
191	1161	4890
192	1167	4880
193	1172	4869
194	1177	4862
195	1181	4846
196	1186	4838
197	1190	4822
198	1194	4807
199	1199	4798
200	1205	4792
201	1214	4796
202	1220	4790
203	1225	4781
204	1232	4778
205	1237	4769
206	1244	4766
207	1249	4758
208	1258	4762
209	1266	4763
210	1273	4763
211	1279	4754
212	1285	4749
213	1293	4750
214	1298	4740
215	1304	4735
216	1310	4727
217	1315	4718
218	1321	4711
219	1327	4705
220	1334	4703
221	1342	4704
222	1348	4699
223	1355	4695
224	1363	4694
225	1370	4693
226	1375	4684
227	1381	4678
228	1387	4671
229	1394	4667
230	1399	4660
231	1404	4650
232	1410	4643
233	1417	4641
234	1426	4643
235	1437	4652
236	1453	4678
237	1462	4683
238	1471	4684
239	1479	4684
240	1484	4676
241	1491	4670
242	1495	4660
243	1501	4650
244	1506	4642
245	1511	4632
246	1517	4625
247	1522	4615
248	1526	4604
249	1535	4606
250	1541	4601
251	1550	4601
252	1555	4593
253	1560	4583
254	1569	4586
255	1577	4584
256	1583	4578
257	1591	4577
258	1602	4585
259	1608	4576
260	1614	4572
261	1619	4562
262	1625	4555
263	1631	4549
264	1640	4551
265	1648	4548
266	1654	4541
267	1660	4534
268	1667	4531
269	1674	4527
270	1682	4525
271	1689	4522
272	1696	4517
273	1705	4519
274	1711	4511
275	1718	4508
276	1723	4498
277	1728	4490
278	1739	4493
279	1743	4483
280	1748	4474
281	1755	4469
282	1765	4474
283	1775	4475
284	1780	4466
285	1783	4453
286	1788	4443
287	1793	4432
288	1797	4421
289	1801	4410
290	1806	4401
291	1810	4390
292	1814	4378
293	1818	4367
